Order,PID,MS SubClass,MS Zoning,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
909,909178160,50,RL,9900.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,7.0,1940.0,1950,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,778.0,778.0,GasA,TA,Y,SBrkr,944.0,545.0,0,1489.0,0.0,0.0,2.0,0,3.0,1,TA,7,Typ,1.0,1.0,240.0,Y,335,0,0,0,0,0,0,7,2009,WD ,Normal,139500
910,909179020,75,RL,15863.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,2.5Fin,7,3.5,1920.0,1970,Gable,CompShg,Wd Sdng,Plywood,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,523.0,Unf,0.0,301.0,824.0,GasA,Ex,Y,SBrkr,1687.0,998.0,0,2667.875,1.0,0.0,2.0,1,4.5,1,TA,10,Typ,2.0,2.0,672.0,Y,136,63,0,0,0,0,0,8,2009,WD ,Normal,197000
911,909250080,70,RL,5707.0,Pave,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,2Story,6,6.0,1935.0,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,583.0,583.0,GasA,Gd,Y,FuseF,647.0,595.0,0,1242.0,0.0,0.0,1.0,1,3.0,1,TA,6,Typ,1.0,1.0,180.0,Y,329,96,0,0,0,0,0,3,2009,WD ,Normal,105000
912,909250220,50,RL,7804.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,4,3.5,1928.0,1950,Gable,CompShg,WdShing,Plywood,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,622.0,Unf,0.0,500.0,1122.0,GasA,TA,Y,SBrkr,1328.0,653.0,0,1981.0,1.0,0.0,2.0,0,4.0,1,Gd,7,Min2,2.0,2.0,576.0,Y,420,44,0,0,0,0,0,12,2009,WD ,Normal,135000
913,909251050,30,RL,8574.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,7.5,1916.0,2000,Gable,CompShg,Stucco,Stucco,0.0,Gd,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,816.0,816.0,GasA,Ex,Y,SBrkr,1232.0,0.0,0,1232.0,0.0,0.0,1.0,0,3.0,1,Gd,6,Typ,1.0,2.0,440.0,Y,0,0,0,0,0,0,0,10,2009,WD ,Normal,147500
914,909251170,50,RL,6171.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,6.0,1925.0,1990,Gable,CompShg,WdShing,Wd Shng,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,264.0,Unf,0.0,712.0,976.0,GasA,Ex,Y,SBrkr,1160.0,448.0,0,1608.0,0.0,0.0,2.0,1,3.0,1,Gd,7,Typ,1.0,1.0,216.0,Y,147,16,0,0,0,0,0,10,2009,WD ,Normal,137450
915,909252020,70,RL,7200.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,2Story,7,7.5,1936.0,2007,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,Gd,Gd,PConc,Gd,Gd,No,ALQ,350.0,BLQ,0.0,0.0,560.0,GasA,Ex,Y,SBrkr,575.0,560.0,0,1135.0,1.0,0.0,1.0,0,3.0,1,Gd,6,Typ,0.0,2.0,576.0,Y,256,0,0,0,0,0,0,4,2009,WD ,Normal,155000
916,909253010,50,RL,7558.0,Pave,Reg,Bnk,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,6,6.0,1928.0,1950,Gable,CompShg,BrkFace,Stone,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,896.0,896.0,GasA,Gd,Y,SBrkr,1172.0,741.0,0,1913.0,0.0,0.0,1.0,1,3.0,1,TA,9,Typ,1.0,2.0,342.0,Y,0,0,0,0,0,0,0,3,2009,WD ,Normal,177000
917,909253180,50,RL,6292.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,7,7.0,1928.0,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,861.0,861.0,GasA,Gd,Y,SBrkr,877.0,600.0,0,1477.0,0.0,0.0,2.0,0,3.0,1,TA,6,Typ,1.0,1.0,216.0,Y,0,50,0,0,0,0,0,8,2009,WD ,Normal,145000
918,909254010,70,RL,7155.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,7.5,1918.0,1990,Gambrel,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,TA,Fa,Mn,Unf,0.0,Unf,0.0,600.0,600.0,GasA,Ex,Y,SBrkr,628.0,600.0,0,1228.0,0.0,0.0,1.0,0,3.0,1,TA,6,Typ,1.0,1.0,215.0,Y,0,113,0,0,0,0,0,5,2009,WD ,Normal,137000
919,909257050,70,RL,10918.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,7.5,1926.0,2004,Gambrel,CompShg,MetalSd,MetalSd,0.0,Gd,TA,BrkTil,Gd,TA,No,Unf,0.0,Unf,0.0,1276.0,1276.0,GasA,Ex,Y,SBrkr,1276.0,804.0,0,2080.0,0.0,0.0,1.0,1,3.0,1,Gd,9,Typ,2.0,1.0,282.0,Y,0,0,0,0,0,0,0,6,2009,WD ,Normal,234000
920,909275080,50,RL,13680.0,Pave,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6.0,1940.0,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,No,ALQ,728.0,Unf,0.0,112.0,840.0,GasA,Ex,Y,SBrkr,840.0,727.0,0,1567.0,1.0,0.0,1.0,1,2.0,1,TA,6,Min2,2.0,2.0,440.0,Y,0,21,0,0,0,0,0,2,2009,WD ,Normal,205000
921,909276110,70,RL,7500.0,Pave,IR1,Bnk,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,6,7.0,1942.0,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,No,BLQ,547.0,Unf,0.0,224.0,771.0,GasA,Fa,Y,SBrkr,753.0,741.0,0,1494.0,0.0,0.0,1.0,0,3.0,1,Gd,7,Typ,2.0,1.0,213.0,P,0,0,0,0,0,0,0,11,2009,WD ,Normal,177500
922,909276200,50,RL,9600.0,Pave,IR1,HLS,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,5,7.0,1940.0,1950,Gable,CompShg,MetalSd,MetalSd,0.0,Gd,Gd,BrkTil,TA,Fa,No,Rec,428.0,Unf,0.0,300.0,728.0,GasA,Ex,Y,SBrkr,976.0,332.0,0,1308.0,1.0,0.0,1.0,1,2.0,1,TA,7,Min2,2.0,1.0,256.0,Y,0,70,0,0,0,0,0,6,2009,WD ,Normal,160000
923,909277090,20,RL,14680.0,Pave,IR1,HLS,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,4.0,1960.0,1960,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,Rec,793.0,Unf,0.0,480.0,1273.0,GasA,Ex,Y,SBrkr,1273.0,0.0,0,1273.0,0.0,0.0,1.0,0,2.0,1,TA,5,Typ,0.0,1.0,307.0,Y,420,0,0,0,0,0,0,6,2009,WD ,Normal,155000
924,909277100,30,RL,13360.0,Pave,IR1,HLS,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,7.0,1921.0,2006,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,Gd,BrkTil,Gd,TA,No,ALQ,713.0,Unf,0.0,163.0,876.0,GasA,Ex,Y,SBrkr,964.0,0.0,0,964.0,1.0,0.0,1.0,0,2.0,1,TA,5,Typ,0.0,2.0,432.0,Y,0,0,0,0,0,0,0,8,2009,WD ,Normal,163500
925,909278020,50,RL,7681.0,Pave,IR1,Lvl,AllPub,FR2,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6.0,1921.0,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,731.0,731.0,GasA,Ex,Y,SBrkr,820.0,523.0,0,1343.0,0.0,0.0,1.0,1,3.0,1,TA,7,Typ,1.0,1.0,186.0,Y,192,0,0,0,0,0,0,7,2009,WD ,Normal,154900
926,909279010,90,RL,8145.0,Pave,IR1,HLS,AllPub,Corner,Gtl,Crawfor,Norm,Norm,Duplex,2.5Unf,7,6.0,1940.0,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,TA,TA,No,LwQ,246.0,Unf,0.0,674.0,920.0,GasA,Ex,Y,SBrkr,1240.0,1240.0,0,2480.0,0.0,0.0,2.0,1,4.5,1,TA,10,Typ,2.0,2.0,400.0,Y,0,0,0,0,0,0,0,7,2009,WD ,Normal,205000
927,909282130,20,RL,9100.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Feedr,Norm,1Fam,1Story,5,6.0,1954.0,1954,Gable,CompShg,BrkFace,BrkFace,0.0,TA,Gd,BrkTil,TA,TA,Mn,Rec,154.0,ALQ,0.0,264.0,1112.0,GasA,Ex,Y,SBrkr,1112.0,0.0,0,1112.0,1.0,0.0,1.0,0,2.0,1,TA,6,Typ,1.0,1.0,390.0,Y,0,0,0,0,0,0,0,10,2009,WD ,Family,144800
928,909425060,70,RL,12000.0,Pave,Reg,Bnk,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,7.0,1941.0,1950,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,Rec,275.0,Unf,0.0,429.0,704.0,GasA,Ex,Y,SBrkr,860.0,704.0,0,1564.0,0.0,0.0,1.0,1,3.0,1,Fa,7,Typ,1.0,1.0,234.0,Y,0,0,0,0,0,0,0,7,2009,WD ,Normal,174500
929,909425130,20,RL,13339.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,6.0,1960.0,1960,Gable,CompShg,HdBoard,Plywood,132.0,TA,TA,CBlock,TA,TA,No,LwQ,65.0,BLQ,0.0,621.0,1561.0,GasA,TA,Y,SBrkr,1561.0,0.0,0,1561.0,1.0,0.0,2.0,0,3.0,1,TA,6,Typ,1.0,2.0,463.0,Y,0,148,0,0,0,0,0,5,2009,WD ,Normal,193000
930,909426090,50,RL,15600.0,Pave,Reg,Bnk,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,5,7.0,1949.0,2005,Gable,CompShg,BrkComm,Brk Cmn,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,312.0,Rec,0.0,248.0,1067.0,GasW,Fa,N,SBrkr,986.0,537.0,0,1523.0,1.0,0.0,2.0,0,3.0,1,Fa,7,Maj2,1.0,1.0,295.0,Y,0,0,0,0,0,0,0,10,2009,WD ,Normal,158000
931,909427200,20,RL,14000.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,7.5,1950.0,2004,Gable,CompShg,HdBoard,HdBoard,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1092.0,1092.0,GasA,Ex,Y,SBrkr,1152.0,0.0,0,1152.0,0.0,0.0,1.0,0,3.0,1,Gd,6,Typ,1.0,1.0,300.0,Y,0,36,0,0,0,0,0,8,2009,WD ,Family,158500
932,909428240,20,RL,17500.0,Pave,Reg,Bnk,AllPub,Corner,Mod,Crawfor,PosA,Norm,1Fam,1Story,6,5.0,1954.0,1954,Gable,CompShg,HdBoard,HdBoard,406.875,TA,TA,PConc,TA,TA,Av,LwQ,784.0,BLQ,0.0,91.0,1310.0,GasA,Ex,Y,SBrkr,1906.0,0.0,0,1906.0,1.0,0.0,1.0,1,3.0,1,TA,6,Typ,2.0,2.0,576.0,Y,0,175,0,0,0,0,0,1,2009,WD ,Normal,224000
933,909451040,145,RM,1733.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blueste,Norm,Norm,Twnhs,2Story,6,6.0,1980.0,1980,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,516.0,516.0,GasA,TA,Y,SBrkr,516.0,516.0,0,1032.0,0.0,0.0,1.0,0,2.0,1,TA,5,Typ,1.0,2.0,452.0,Y,279,0,0,0,0,0,0,5,2009,WD ,Normal,115000
934,909451100,145,RM,1488.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blueste,Norm,Norm,TwnhsE,2Story,6,6.0,1980.0,1992,Gable,CompShg,MetalSd,MetalSd,0.0,TA,Gd,CBlock,Gd,TA,Mn,ALQ,471.0,Unf,0.0,90.0,561.0,GasA,TA,Y,SBrkr,561.0,668.0,0,1229.0,1.0,0.0,1.0,1,2.0,1,Gd,5,Typ,1.0,2.0,462.0,Y,176,0,0,0,0,0,0,10,2009,WD ,Normal,137000
935,909451140,145,RM,1612.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blueste,Norm,Norm,Twnhs,2Story,6,6.0,1980.0,1980,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,561.0,561.0,GasA,TA,Y,SBrkr,561.0,668.0,0,1229.0,0.0,0.0,1.0,1,2.0,1,TA,5,Typ,1.0,2.0,462.0,Y,154,0,0,0,0,0,0,7,2009,WD ,Normal,121000
936,909451180,145,RM,1300.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blueste,Norm,Norm,TwnhsE,2Story,6,6.0,1980.0,1980,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,285.0,Unf,0.0,276.0,561.0,GasA,TA,Y,SBrkr,561.0,668.0,0,1229.0,0.0,0.0,1.0,1,2.0,1,TA,5,Typ,1.0,2.0,462.0,Y,150,0,0,0,0,0,0,5,2009,WD ,Normal,124000
937,909452050,80,RL,13607.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,SLvl,6,6.0,1986.0,1986,Gable,CompShg,VinylSd,VinylSd,242.0,TA,Gd,CBlock,TA,TA,No,ALQ,454.0,Unf,0.0,118.0,572.0,GasA,Gd,Y,SBrkr,1182.0,800.0,0,1982.0,1.0,0.0,2.0,1,3.0,1,TA,6,Typ,1.0,2.0,501.0,Y,400,112,0,0,0,0,0,4,2009,WD ,Normal,208000
938,909475040,20,RL,17597.0,Pave,Reg,Bnk,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,7,7.5,1971.0,2009,Hip,CompShg,BrkFace,BrkFace,0.0,Gd,Gd,CBlock,Gd,TA,No,GLQ,803.0,ALQ,0.0,581.0,1803.0,GasA,TA,Y,SBrkr,2145.625,0.0,0,2365.0,1.0,0.0,2.0,0,3.0,1,Ex,7,Min1,2.0,2.0,551.0,Y,200,144,0,0,0,0,0,7,2009,WD ,Normal,315000
939,909475300,20,RL,17727.75,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,7.5,1988.0,2007,Hip,CompShg,Wd Sdng,Plywood,260.0,Gd,Gd,CBlock,Gd,TA,No,GLQ,808.0,Unf,0.0,72.0,880.0,GasA,Ex,Y,SBrkr,1680.0,0.0,0,1680.0,1.0,0.0,2.0,0,3.0,1,Gd,5,Typ,1.0,2.0,540.0,Y,292,44,0,0,0,0,0,12,2009,WD ,Normal,222000
940,910202070,70,RM,10690.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,5,7.0,1920.0,1997,Hip,CompShg,VinylSd,VinylSd,0.0,TA,Gd,CBlock,TA,Fa,No,Rec,456.0,Unf,0.0,216.0,672.0,GasA,Gd,Y,FuseA,672.0,672.0,0,1344.0,0.0,0.0,1.0,0,3.0,1,TA,6,Typ,0.0,1.0,468.0,Y,0,128,0,0,0,0,0,7,2009,WD ,Normal,147000
941,910204050,70,RM,8660.0,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,5,6.0,1900.0,1993,Gambrel,CompShg,AsbShng,AsbShng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,760.0,760.0,GasA,Ex,N,SBrkr,928.0,928.0,0,2168.0,0.0,0.0,2.0,0,4.5,1,Gd,10,Typ,0.0,2.0,576.0,Y,420,160,0,0,0,0,0,12,2009,WD ,Normal,123000
942,910205020,70,RM,6402.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,5,5.0,1920.0,1950,Gable,CompShg,Wd Sdng,Wd Shng,0.0,TA,TA,PConc,TA,TA,Mn,Unf,0.0,Unf,0.0,596.0,596.0,GasA,TA,N,SBrkr,596.0,596.0,0,1192.0,0.0,0.0,1.0,0,3.0,1,TA,6,Typ,0.0,1.0,189.0,N,0,0,0,0,0,0,0,7,2009,WD ,Normal,78000
943,911103050,50,C (all),8470.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,IDOTRR,Feedr,Feedr,1Fam,1.5Fin,3,3.5,1915.0,1982,Hip,CompShg,Plywood,Plywood,0.0,Fa,Fa,CBlock,TA,Fa,No,Unf,0.0,Unf,0.0,1013.0,1013.0,GasA,TA,N,SBrkr,1013.0,0.0,0,1526.0,0.0,0.0,1.0,0,2.0,1,Fa,6,Typ,0.0,0.0,0.0,N,0,0,0,0,0,0,0,10,2009,ConLD,Abnorml,85000
944,911104060,30,C (all),10200.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,4,6.0,1925.0,1950,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,572.0,572.0,GasA,Fa,N,FuseP,572.0,0.0,0,572.0,0.0,0.0,1.0,0,2.0,1,TA,4,Typ,0.0,1.0,200.0,N,0,0,0,0,0,0,0,5,2009,WD ,Normal,75000
945,911370500,120,RM,3843.0,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,TwnhsE,1Story,8,5.0,2007.0,2008,Hip,CompShg,CemntBd,CmentBd,174.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1476.0,Unf,0.0,120.0,1596.0,GasA,Ex,Y,SBrkr,1648.0,0.0,0,1648.0,1.0,0.0,2.0,0,2.0,1,Ex,5,Typ,1.0,2.0,482.0,Y,162,53,0,0,0,0,0,6,2009,New,Partial,230000
946,912251110,30,I (all),17727.75,Grvl,Reg,Lvl,NoSewr,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,2,4.0,1910.0,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,Fa,Fa,CBlock,TA,TA,No,GLQ,0.0,Unf,0.0,0.0,30.25,GasA,TA,N,FuseA,810.0,0.0,0,810.0,0.0,0.0,1.0,0,1.0,1,TA,4,Min1,0.0,1.0,280.0,N,119,24,0,0,0,0,0,3,2009,ConLD,Normal,57625
947,914465020,60,RL,10125.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,8,5.0,2000.0,2001,Gable,CompShg,CemntBd,CmentBd,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,445.0,BLQ,0.0,412.0,1107.0,GasA,Ex,Y,SBrkr,1040.0,1012.0,0,2052.0,0.0,0.0,2.0,1,3.0,1,Gd,7,Typ,1.0,3.0,642.0,Y,210,91,0,0,0,0,0,5,2009,WD ,Normal,251000
948,914465040,50,RL,12822.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5.0,2003.0,2003,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351.0,Unf,0.0,83.0,1434.0,GasA,Ex,Y,SBrkr,1518.0,631.0,0,2149.0,1.0,0.0,1.0,1,1.0,1,Gd,6,Typ,1.0,2.0,670.0,Y,168,43,0,0,0,0,0,8,2009,WD ,Abnorml,239686
949,914465055,20,RL,12118.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1Story,7,5.0,2004.0,2005,Hip,CompShg,VinylSd,VinylSd,108.0,Gd,TA,PConc,Ex,TA,Mn,Unf,0.0,Unf,0.0,1675.875,1710.0,GasA,Ex,Y,SBrkr,1710.0,0.0,0,1710.0,0.0,0.0,2.0,0,3.0,1,Gd,7,Typ,1.0,2.0,550.0,Y,100,48,0,0,0,0,0,4,2009,WD ,Normal,240000
950,914474070,60,RL,12209.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,2Story,6,5.0,2001.0,2002,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,Ex,TA,No,ALQ,690.0,Unf,0.0,114.0,804.0,GasA,Ex,Y,SBrkr,804.0,1157.0,0,1961.0,1.0,0.0,2.0,1,3.0,1,Gd,7,Typ,1.0,2.0,560.0,Y,125,175,0,0,0,0,0,6,2009,WD ,Normal,215000
951,914475010,85,RL,9750.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,6,6.0,1977.0,1977,Gable,CompShg,Plywood,Plywood,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,767.0,Unf,0.0,135.0,902.0,GasA,Ex,Y,SBrkr,926.0,0.0,0,926.0,1.0,0.0,1.0,0,2.0,1,TA,5,Typ,1.0,1.0,351.0,Y,319,0,0,0,0,0,0,4,2009,WD ,Normal,156450
952,914475030,85,RL,9360.0,Pave,Reg,Bnk,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,6,7.0,1977.0,1977,Gable,CompShg,Plywood,Plywood,0.0,TA,TA,CBlock,Gd,TA,Av,GLQ,841.0,LwQ,0.0,0.0,957.0,GasA,TA,Y,SBrkr,1287.0,0.0,0,1287.0,1.0,0.0,1.0,1,2.0,1,TA,5,Typ,2.0,2.0,541.0,Y,302,39,0,0,0,0,0,11,2009,WD ,Normal,173000
953,914476020,90,RL,10125.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1.5Fin,5,5.0,1977.0,1977,Gable,CompShg,Plywood,Plywood,0.0,TA,TA,CBlock,TA,TA,No,GLQ,0.0,Unf,0.0,0.0,30.25,GasA,TA,Y,SBrkr,1302.0,432.0,0,1734.0,0.0,0.0,2.0,0,4.0,1,Gd,8,Typ,0.0,2.0,539.0,Y,0,0,0,0,0,0,0,8,2009,COD,Normal,126000
954,914476380,80,RL,9947.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,7,5.0,1990.0,1991,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,611.0,Unf,0.0,577.0,1188.0,GasA,Ex,Y,SBrkr,1217.0,0.0,0,1217.0,1.0,0.0,2.0,0,3.0,1,Gd,6,Typ,0.0,2.0,497.0,Y,168,27,0,0,0,0,0,6,2009,WD ,Normal,173000
955,914476430,20,RL,11070.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5.0,1991.0,1991,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,PConc,Gd,TA,No,BLQ,55.0,Unf,0.0,1527.0,1582.0,GasA,TA,Y,SBrkr,1595.0,0.0,0,1595.0,1.0,0.0,2.0,0,2.0,1,TA,5,Typ,0.0,2.0,672.0,Y,0,0,0,0,0,0,0,4,2009,COD,Abnorml,152000
956,916176030,20,RL,14375.0,Pave,IR1,Lvl,NoSeWa,CulDSac,Gtl,Timber,Norm,Norm,1Fam,SLvl,6,6.0,1958.0,1958,Gable,CompShg,HdBoard,HdBoard,406.875,TA,TA,CBlock,TA,TA,No,GLQ,111.0,Rec,0.0,354.0,819.0,GasA,Gd,Y,FuseA,1344.0,0.0,0,1344.0,0.0,0.0,1.0,0,3.0,1,Gd,7,Typ,1.0,2.0,525.0,Y,0,118,0,0,0,0,0,1,2009,COD,Abnorml,137500
957,916176125,20,RL,17727.75,Pave,IR3,Low,AllPub,Inside,Sev,Timber,Norm,Norm,1Fam,1Story,7,5.0,1965.0,1965,Hip,CompShg,BrkFace,BrkFace,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,1236.0,Rec,0.0,80.0,2064.25,GasW,TA,Y,SBrkr,2036.0,0.0,0,2036.0,2.0,0.0,2.0,0,3.0,1,TA,8,Typ,2.0,2.0,513.0,Y,0,0,0,0,0,0,0,6,2009,WD ,Normal,339500
958,916380070,20,RL,12898.0,Pave,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,9,5.0,2007.0,2008,Hip,CompShg,VinylSd,VinylSd,70.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1022.0,Unf,0.0,598.0,1620.0,GasA,Ex,Y,SBrkr,1620.0,0.0,0,1620.0,1.0,0.0,2.0,0,2.0,1,Ex,6,Typ,1.0,3.0,912.0,Y,228,0,0,0,0,0,0,9,2009,WD ,Normal,315500
959,916382010,60,RL,13159.0,Pave,IR1,HLS,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,7,5.0,2009.0,2009,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,846.0,846.0,GasA,Gd,Y,SBrkr,846.0,846.0,0,1692.0,0.0,0.0,2.0,1,3.0,1,Gd,6,Typ,0.0,2.0,650.0,Y,208,114,0,0,0,0,0,7,2009,New,Partial,224500
960,916382100,20,RL,13438.0,Pave,IR1,HLS,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,9,5.0,2008.0,2008,Gable,CompShg,CemntBd,CmentBd,246.0,Ex,TA,CBlock,Ex,TA,Gd,GLQ,1758.0,Unf,0.0,432.0,2064.25,GasA,Ex,Y,SBrkr,2036.0,0.0,0,2036.0,1.0,0.0,2.0,0,3.0,1,Ex,9,Typ,1.0,3.0,780.0,Y,90,154,0,0,0,0,0,7,2009,WD ,Normal,339500
